item_category,item_name,item_after_discount,item_price,percentage_solds,item_rating,item_shipping,buyer_gender
Athletic Shoes,Nike SB Check Solar Cnvs Skateboarding Shoes for Men,299.00SAR,211.48SAR,94,100,FREE Shipping,men
Athletic Shoes,"Nike Md Runner 2 Two-Tone Textile-Mesh Suede-Accent Side-Logo Lace-Up Running Athletic Shoes for Men - Wolf Grey, 42.5",349.00SAR,289.99SAR,80,88,FREE Shipping,men
Athletic Shoes,"Nike air Heights Sneaker for Women , Size 38 EU , White",419.00SAR,337.48SAR,77,,FREE Shipping,women
Athletic Shoes,"Nike Fitness Shoes For Men , 43 EU , Black",319.00SAR,211.48SAR,76,80,FREE Shipping,men
Athletic Shoes,"adidas ASWEERUN Sneaker for Mens, Grey - Size 43.3 EU",259.00SAR,194.99SAR,94,,Eligible for FREE Shipping,men
Athletic Shoes,"Nike Sport Sneaker Shoes for Men , 44 EU , White",319.00SAR,234.99SAR,30,,FREE Shipping,men
Athletic Shoes,Adidas Duramo 9 Running Shoes For Men - Core Black,319.00SAR,233.98SAR,68,100,FREE Shipping,men
Athletic Shoes,"Nike Fitness Shoes For Men , 44.5 EU , Gray",389.00SAR,280.98SAR,71,,FREE Shipping,men
Athletic Shoes,"Nike Air Zoom Pegasus 36 Running Sneakers for Men , Black , Size 43 EU",609.00SAR,470.99SAR,60,,FREE Shipping,men
Athletic Shoes,"Nike Court Lite 2 Sneaker for Men , Size 42 EU , Black",339.00SAR,236.99SAR,33,,FREE Shipping,men
Athletic Shoes,"NiKE Tanjun Sneaker for Women, Grey - 38 EU",359.00SAR,225.65SAR,69,80,FREE Shipping,women
Athletic Shoes,"Adidas VS Pace Nubuck Contrast Side Stripe Sport Sneakers for Men - White, 43 1/3",259.00SAR,186.98SAR,86,90,Eligible for FREE Shipping,men
Athletic Shoes,"Nike Fitness Shoes For Men , 42.5 EU , Black",319.00SAR,211.48SAR,87,100,FREE Shipping,men
Athletic Shoes,"Adidas Grand Court Base Faux Leather Contrast Side Stripe Heel Tab Logo Tennis Shoes for Men - Black, 42 2/3",249.00SAR,177.99SAR,75,100,Eligible for FREE Shipping,men
Athletic Shoes,"adidas ASWEERUN Sneaker for Mens, Black - Size 42 EU",259.00SAR,194.99SAR,40,,Eligible for FREE Shipping,men
Athletic Shoes,"Skechers GO WALK EVOLUTION ULTRA Sneaker for Men , Size 42 EU , Black",279.00SAR,175.98SAR,68,90,Eligible for FREE Shipping,men
Athletic Shoes,"Skechers GO WALK 5 Sneaker for Men , Size 43 EU , Black",349.00SAR,228.48SAR,50,100,FREE Shipping,men
Athletic Shoes,Nike air Monarch IV Training Shoes for Men - Black Size - 43 EU,279.00SAR,234.99SAR,60,90,FREE Shipping,men
Athletic Shoes,"Nike Explore Strada Sneaker for Women , Size 39 EU , White",339.00SAR,245.98SAR,57,,FREE Shipping,women
Athletic Shoes,Nike Tanjun Sneaker For Men (Black - 43 EU),349.00SAR,284.49SAR,61,88,FREE Shipping,men
Athletic Shoes,"Nike Quest 2 Nylon-Mesh Contrast Side Logo Running Shoes for Men - White, 45",,280.98SAR,71,,FREE Shipping,men
Athletic Shoes,"Puma Ella Sneaker For Women, Size 39 EU - Color White",249.00SAR,191.49SAR,66,,Eligible for FREE Shipping,women
Athletic Shoes,Adidas Asweerun Running Shoes For Men - Core Black,255.00SAR,194.99SAR,91,100,Eligible for FREE Shipping,men
Athletic Shoes,"Nike air Zoom Pegasus 36 Sneaker for Men , Size 43 EU , Blue",579.00SAR,421.98SAR,42,,FREE Shipping,men
Athletic Shoes,"Nike Sport Sneaker Shoes for Men , 44 EU , Black",319.00SAR,202.99SAR,50,,FREE Shipping,men
Athletic Shoes,"Nike SB ALLEYOOP Sneaker for Mens, Black, 42 EU",349.00SAR,274.48SAR,42,,FREE Shipping,men
Athletic Shoes,"adidas Grand Court Base Sneakers for Men, Size 42 2/3 EU, White - EE7904",569.00SAR,194.99SAR,84,100,Eligible for FREE Shipping,men
Athletic Shoes,Nike Court Royale Sport Sneakers for Women - White/Metallic Silver Size - 38 EU,319.00SAR,234.99SAR,92,100,FREE Shipping,women
Athletic Shoes,"Nike Flex Experience RN 8 Sneaker for Men , Size 42.5 EU , Grey",359.00SAR,250.49SAR,72,100,FREE Shipping,men
Athletic Shoes,Nike Tanjun Sneaker For Women (White & Black - 38 EU),352.00SAR,251.49SAR,53,100,FREE Shipping,women
Athletic Shoes,Nike Shoes for Men Size 43 EU - Blue,319.00SAR,258.98SAR,61,100,FREE Shipping,men
Athletic Shoes,"Nike Fitness Shoes For Men , 42.5 EU , Gray",579.00SAR,342.49SAR,,,FREE Shipping,men
Athletic Shoes,"Nike Quest 2 Sneaker for Men , Size 42.5 EU , Black",389.00SAR,249.00SAR,85,,FREE Shipping,men
Athletic Shoes,"Nike Downshifter 9 Sneaker for Men , Size 41 EU , Red",319.00SAR,258.98SAR,58,,FREE Shipping,men
Athletic Shoes,Asics Jolt 2 Sneaker for Men Black 43.5 EU,209.00SAR,139.00SAR,53,90,Eligible for FREE Shipping,men
Athletic Shoes,Nike Tanjun Running Shoe For Men (Black - 42 EU),349.00SAR,259.98SAR,92,86,FREE Shipping,men
Athletic Shoes,Nike Flex Essential Training Shoes for Women (Black - 38 EU),309.00SAR,258.98SAR,76,100,FREE Shipping,women
Athletic Shoes,"Adidas Duramo 9 Nylon Mesh Rubber-Accent Side-Stripe Lace-Up Running Athletic Shoes for Men - Core Black, 42 2/3",289.00SAR,233.98SAR,75,88,FREE Shipping,men
Athletic Shoes,Nike Md Runner 2 Running Shoes for Men - Black/White (43 EU),399.00SAR,289.99SAR,60,100,FREE Shipping,men
Athletic Shoes,"adidas STRUTTER Sneaker for Men , Size 42.7 EU , White",289.00SAR,214.99SAR,90,100,FREE Shipping,men
Athletic Shoes,"Adidas Courtsmash Perforated Genuine Leather Mesh-Accent Lace-up Side-Stripe Tennis Athletic Shoes for Men - Core Black, 44",259.00SAR,194.99SAR,78,90,Eligible for FREE Shipping,men
Athletic Shoes,"Nike FLEX RUNNER Shoe for Kids , Black - 33 EU",199.00SAR,156.48SAR,63,,Eligible for FREE Shipping,
Athletic Shoes,"Adidas Grand Court Base Faux Leather Contrast Side Stripe Heel Tab Logo Tennis Shoes for Women - White, 40",259.00SAR,192.99SAR,76,100,Eligible for FREE Shipping,women
Athletic Shoes,"Nike Revolution 5 Sneaker for Men , Size 43 EU , White",259.00SAR,211.48SAR,50,100,FREE Shipping,men
Athletic Shoes,"Asics GEL-NIMBUS 22 Running Shoes for Women, Rose Gold, 38 EU",839.00SAR,629.99SAR,33,,FREE Shipping,women
Athletic Shoes,"Asics GEL-Kayano 26 Running Shoes for Women, Multi Color, 38 EU",839.00SAR,629.99SAR,50,,FREE Shipping,women
Athletic Shoes,"asics GEL-NIMBUS 22 Running Shoes for Women, Pink, 38 EU",839.00SAR,629.99SAR,33,,FREE Shipping,women
Athletic Shoes,"Adidas Sooraj Color Block Rubber Sole Lace-Up Running Shoes for Women - Core Black & Grey Five, 38",,214.99SAR,77,100,FREE Shipping,women
Athletic Shoes,"Nike Precision III Sneaker for Men , Size 41 EU , Black",389.00SAR,313.98SAR,77,,FREE Shipping,men
Athletic Shoes,"Nike Viale Sneaker for Men , Size 45 EU , Black",389.00SAR,269.00SAR,62,,FREE Shipping,men
Athletic Shoes,"adidas ASWEERUN Sneaker for Womens, PINK - Size 39.3 EU",259.00SAR,194.99SAR,60,,Eligible for FREE Shipping,women
Athletic Shoes,Nike SB Check Solar Cnvs Skate Boarding Shoes For Men,279.00SAR,211.48SAR,70,100,FREE Shipping,men
Athletic Shoes,Nike SB Check Solar Sneaker For Men (Grey - 43 EU),346.00SAR,258.98SAR,71,88,FREE Shipping,men
Athletic Shoes,"Nike Air Zoom Vomero 14 Running Sneakers for Men , Black , Size 44 EU",709.00SAR,549.49SAR,33,,FREE Shipping,men
Athletic Shoes,"Skechers Flex Advantage Sr- Mcallen Sneaker For Men Size 46 EU, Black",309.00SAR,308.99SAR,80,,FREE Shipping,men
Athletic Shoes,"Skechers FLEX ADVANTAGE 3.0 Sneaker for Men , Size 42 EU , Brown",269.00SAR,192.49SAR,66,,Eligible for FREE Shipping,men
Athletic Shoes,Nike Sb Check Solar Cnvs Sneaker For Men (Black - 43 EU),299.00SAR,211.48SAR,91,100,FREE Shipping,men
