item_category,item_name,item_after_discount,item_price,percentage_solds,item_rating,item_shipping,buyer_gender
Casual & Dress Shoes,Lacoste Casual Shoe For Men Size 45 EU - White,519.00SAR,295.98SAR,14,,FREE Shipping,men
Casual & Dress Shoes,"Lacoste Fairlead Fashion Sneakers Shoes For Men, Size 46 EU, Black and Grey",469.00SAR,268.49SAR,50,,FREE Shipping,men
Casual & Dress Shoes,"Lacoste Europa Lace Up Shoes For Men Size 42 EU, Black",459.00SAR,262.49SAR,66,,FREE Shipping,men
Casual & Dress Shoes,"Lacoste Jouer Fashion Sneakers Shoes for Men, Size 42 EU, Navy and White",459.00SAR,262.49SAR,60,100,FREE Shipping,men
Casual & Dress Shoes,Lacoste Casual Shoe for Men Size 42 EU - Black,539.00SAR,309.98SAR,87,100,FREE Shipping,men
Casual & Dress Shoes,"Jack & Jones Lace Up Shoes for Men, Size 44 EU, Black",139.00SAR,100.49SAR,63,,Eligible for FREE Shipping,men
Casual & Dress Shoes,"Geox U KAVEN Fashion Sneakers For Men , size 43 EU , Black",479.00SAR,215.48SAR,67,100,FREE Shipping,men
Casual & Dress Shoes,Jack and Jones Shoes for Men  - Navy - 44 EU,189.00SAR,90.49SAR,94,96,Eligible for FREE Shipping,men
Casual & Dress Shoes,Hugo Boss Casual Shoe for Men Size 43 EU - Navy,759.00SAR,553.98SAR,37,,FREE Shipping,men
Casual & Dress Shoes,Jack and Jones Shoes for Men  - Black - 43 EU,209.00SAR,100.49SAR,39,74,Eligible for FREE Shipping,men
Casual & Dress Shoes,Hugo Boss Casual Shoe for Men Size 42 EU - Dark Navy,749.00SAR,545.99SAR,71,,FREE Shipping,men
Casual & Dress Shoes,"Polo Ralph Lauren Hanford Sneakers for Men, Black - 43 EU",269.00SAR,174.98SAR,66,,Eligible for FREE Shipping,men
Casual & Dress Shoes,Lacoste Casual Shoe For Women Size 39 EU - White,399.00SAR,225.98SAR,71,,FREE Shipping,women
Casual & Dress Shoes,"Polo Ralph Lauren Fashion Sneakers For Men Size 44 EU , Black",329.00SAR,222.48SAR,80,100,FREE Shipping,men
Casual & Dress Shoes,Lacoste Casual Shoe for Women Size 39 EU - Black,499.00SAR,349.99SAR,40,,FREE Shipping,women
