item_category,item_name,item_after_discount,item_price,percentage_solds,item_rating,item_shipping,buyer_gender
Perfumes & Fragrances,"Calvin Klein Euphoria for Women - Eau de Parfum, 100ml",357.00SAR,111.21SAR,77,90,Eligible for FREE Shipping,women
Perfumes & Fragrances,"Lattafa Pure Musk for Unisex - Eau de Parfum, 100ml",55.00SAR,32.39SAR,64,86,Eligible for FREE Shipping,Unisex
Perfumes & Fragrances,"Davidoff Cool Water for Women - Eau de Toilette, 100ml",279.00SAR,65.10SAR,76,88,Eligible for FREE Shipping,women
Perfumes & Fragrances,"GUESS Marciano for Men - Eau de Toilette, 100ml",273.00SAR,69.90SAR,25,78,Eligible for FREE Shipping,men
Perfumes & Fragrances,"Guess by Marciano for Women - Eau de Parfum, 100ml",147.00SAR,67.41SAR,67,86,Eligible for FREE Shipping,women
Perfumes & Fragrances,"Guess Seductive Homme for Men - Eau de Toilette, 100ml",289.00SAR,73.12SAR,84,82,Eligible for FREE Shipping,men
Perfumes & Fragrances,"Roberto Cavalli For Women - Eau de Parfum, 75ml",525.00SAR,105.22SAR,75,88,Eligible for FREE Shipping,women
Perfumes & Fragrances,"United Colors Of Benetton Hot for Women - Eau de Toilette, 100ml",79.00SAR,26.54SAR,67,86,Eligible for FREE Shipping,women
Perfumes & Fragrances,"Guess Girl for Women - Eau de Toilette, 100ml",263.00SAR,71.95SAR,77,86,Eligible for FREE Shipping,women
Perfumes & Fragrances,"Calvin Klein Beauty for Women - Eau de Parfum, 100ml",357.00SAR,84.98SAR,97,86,Eligible for FREE Shipping,women
Perfumes & Fragrances,"Roberto Cavalli Nero Assoluto for Women - Eau de Parfum, 75ml",210.00SAR,103.37SAR,49,86,Eligible for FREE Shipping,women
Perfumes & Fragrances,"Body By Burberry For Women - Eau De Parfum, 85Ml",263.00SAR,129.07SAR,74,90,Eligible for FREE Shipping,women
