item_category,item_name,item_after_discount,item_price,percentage_solds,item_rating,item_shipping,buyer_gender
Sportswear,"Adidas Spain Home Football Jersey For Men - Red, L",419.00SAR,175.98SAR,35,,Eligible for FREE Shipping,men
Sportswear,Under Armour Training T-Shirt for Men,139.00SAR,79.99SAR,56,60,Eligible for FREE Shipping,men
Sportswear,"Under Armour Men's Ua Pursuit Pullover Hoodies, Yellow (Golden Yellow/Black), 2X-Large",389.00SAR,281.48SAR,,,FREE Shipping,men
Sportswear,"Under Armour T-Shirt for Men, Size L - Grey",139.00SAR,85.98SAR,,,Eligible for FREE Shipping,men
Sportswear,"Under Armour Rival Fleece Training Sports Pants for Men Black, L",229.00SAR,176.48SAR,66,94,Eligible for FREE Shipping,men
Sportswear,"Nike B Nsw Tee Futura Icon Td T-Shirts For Kids , Grey, XL",109.00SAR,53.49SAR,44,,Eligible for FREE Shipping,
Sportswear,adidas Logo Sport Tank Top for Women - Black,155.00SAR,77.98SAR,33,100,Eligible for FREE Shipping,women
Sportswear,"Adidas Must Haves Badge of Sport Tank Top for Men - Black & Grey, XL, DT9935",115.00SAR,59.48SAR,57,,Eligible for FREE Shipping,men
Sportswear,"Adidas Essentials Linear Sport Tank Top For Women - Black White, M",109.00SAR,51.99SAR,66,90,Eligible for FREE Shipping,women
Sportswear,Adidas Must Haves 3-Stripes Sport T-Shirt for Men - Black & White,140.00SAR,69.98SAR,88,100,Eligible for FREE Shipping,men
Sportswear,adidas Essentials Plain Sport T-shirt for Men - White,100.00SAR,51.99SAR,69,100,Eligible for FREE Shipping,men
Sportswear,adidas Essentials Linear Sport Tank Top for Women - White/Black,100.00SAR,51.99SAR,33,,Eligible for FREE Shipping,women
Sportswear,"Adidas Design 2 Move Solid Sport T-Shirt For Women - Black, Ds8722, M",155.00SAR,77.98SAR,76,,Eligible for FREE Shipping,women
Sportswear,adidas Design 2 Move 3 Stripes Sport Tank Top for Women - White/Black,130.00SAR,64.98SAR,45,,Eligible for FREE Shipping,women
Sportswear,"Adidas W E Lin Slim Tk Tank For Women - Black (Dp2359), S",100.00SAR,51.99SAR,64,100,Eligible for FREE Shipping,women
Sportswear,Adidas Must Haves Plain Sport T-Shirt for Men - Grey,115.00SAR,59.48SAR,35,,Eligible for FREE Shipping,men
Sportswear,Adidas  D2M HR 34 T Sport Tight for Women - Black,180.00SAR,90.49SAR,75,,Eligible for FREE Shipping,women
Sportswear,adidas SID 360 ADI TEE WHITE for MALE,139.00SAR,69.98SAR,25,,Eligible for FREE Shipping,
Sportswear,adidas FL_SPR Z FT 3ST BLACK for MALE,139.00SAR,69.98SAR,83,,Eligible for FREE Shipping,
Sportswear,"Champion Hemmed Edge Pants For Men, S, Black",159.00SAR,77.98SAR,53,80,Eligible for FREE Shipping,men
Sportswear,adidas   Color Block High Rise 3/4 Logo Print Sport Tights for Women - Black,189.00SAR,130.48SAR,10,,Eligible for FREE Shipping,women
Sportswear,adidas   Colorblock 3/4 Sport Leggings for Women - Black,169.00SAR,113.99SAR,11,,Eligible for FREE Shipping,women
Sportswear,Adidas Design 2 Move Climacool Logo Tee For Men - Black,,79.49SAR,,,Eligible for FREE Shipping,men
Sportswear,Adidas Essentials Linear T-Shirt For Women - Black,,77.49SAR,23,,Eligible for FREE Shipping,women
Sportswear,"Bodytalk Training T-shirt for Men, Size M, Cotton - White",69.00SAR,38.48SAR,75,,Eligible for FREE Shipping,men
Sportswear,"Puma Lifestyle Sport Pant For Men , Black , L",279.00SAR,184.49SAR,25,,Eligible for FREE Shipping,men
Sportswear,"Puma Lifestyle Sport Tights For Women , Black , L",269.00SAR,177.99SAR,,,Eligible for FREE Shipping,women
Sportswear,Under Armour Mid Crossback Training Sports Bra for Women,139.00SAR,85.98SAR,50,100,Eligible for FREE Shipping,women
Sportswear,"Under Armour T-Shirt for Men, Size M - Black",149.00SAR,92.48SAR,60,,Eligible for FREE Shipping,men
Sportswear,"Nike 23 Alpha Dry Graphic Basketball Shorts For Men - Multi Color, XL",249.00SAR,122.99SAR,75,,Eligible for FREE Shipping,men
Sportswear,"Nike 886191, Men's Tank Top, Men's, 886191, black, Medium",269.00SAR,144.48SAR,,,Eligible for FREE Shipping,men
Sportswear,"Under Armour Armour Sport Ss7 T-Shirt For Women Medium, Blue",139.00SAR,85.98SAR,25,,Eligible for FREE Shipping,women
Sportswear,"Under Armour Baseline Fleece Jogger7 Pant For Men , Size M , Brown",239.00SAR,172.48SAR,75,,Eligible for FREE Shipping,men
