item_category,item_name,item_after_discount,item_price,percentage_solds,item_rating,item_shipping,buyer_gender
Wallets,"Tommy Hilfiger Bifold WAllet For Women,LeAther,Multi Color",469.00SAR,172.48SAR,5,,Eligible for FREE Shipping,women
Wallets,"Tommy Hilfiger Bifold Wallet For Women,Leather,Multi Color",469.00SAR,172.48SAR,3,,Eligible for FREE Shipping,women
Wallets,"Tommy Hilfiger Honey Lrg Za Wallet, Tommy Navy Metallic, 19 cm AW0AW07446",469.00SAR,172.48SAR,71,94,Eligible for FREE Shipping,
Wallets,"Vince Camuto Wallet for Women , White",425.00SAR,167.00SAR,,,Eligible for FREE Shipping,women
Wallets,guess Men's Wallet 31GUE13142-Black,195.00SAR,84.00SAR,15,96,Eligible for FREE Shipping,men
Wallets,guess Men's Wallet 31GUE13150-Black,160.00SAR,78.49SAR,14,100,Eligible for FREE Shipping,men
Wallets,guess Men's Wallet 31GUE13143-Black,160.00SAR,77.49SAR,32,94,Eligible for FREE Shipping,men
Wallets,Levis Bifold Mens Wallet - 31LV240012-Black,110.00SAR,57.00SAR,75,96,Eligible for FREE Shipping,men
Wallets,Kenneth Cole REACTION Men's RFID Security Blocking Slimfold Wallet,125.00SAR,47.99SAR,69,98,Eligible for FREE Shipping,men
Wallets,Steve Madden Men's Leather Wallets N80058-Black,125.00SAR,50.00SAR,26,,Eligible for FREE Shipping,men
Wallets,"Tommy Hilfiger Bifold WAllet For Men,LeAther,BlAck",430.00SAR,343.49SAR,76,100,FREE Shipping,men
Wallets,"Calvin Klein Bifold Wallet for Men , Black",160.00SAR,95.00SAR,4,,Eligible for FREE Shipping,men
Wallets,Montblanc bifold Wallet For Men Sartorial 118391-Black,850.00SAR,538.00SAR,66,,FREE Shipping,men
Wallets,Montblanc Meisterstuck 6 CC Leather Wallet -114462-Black,"1,100.00SAR",686.00SAR,20,,FREE Shipping,
Wallets,Montblanc Meisterstuck 7 CC piel Negro Vertical Wallet 14094,"1,050.00SAR",700.00SAR,,100,FREE Shipping,
Wallets,"Michael Kors Wristlet for Women, Yellow",620.00SAR,324.00SAR,25,80,FREE Shipping,women
Wallets,Michael Kors Card Case For Women - Brown,209.00SAR,169.00SAR,63,100,Eligible for FREE Shipping,women
Wallets,"Michael Kors Chain Wallet for Women , Multicolour",360.00SAR,193.48SAR,50,,Eligible for FREE Shipping,women
Wallets,"Tommy Hilfiger Bifold Wallet For Men,Leather,Black",419.00SAR,133.98SAR,89,88,Eligible for FREE Shipping,men
Wallets,"DOWNTOWN MINI CC WALLET Men’s Purse, Multicolour (Testa Di Moro), 0.1x0.1x0.1 centimeters (B x H x T)",399.00SAR,125.99SAR,66,100,Eligible for FREE Shipping,men
Wallets,"Tommy Hilfiger Corp Plaque Mini Cc Money Clip Wallets, Card Cases & Money Organizers, Black, 0 AM0AM05062",399.00SAR,125.49SAR,51,100,Eligible for FREE Shipping,
Wallets,"Calvin Klein Elevated Slimfold 6cc, Men’s Credit Card Case, Black, 8.6x1.8x10.199999999999999 cm (B x H T)",250.00SAR,116.49SAR,72,96,Eligible for FREE Shipping,men
Wallets,Levi's 31LV240021 RFID Tri-Fold Wallet BROWN,110.00SAR,59.48SAR,36,80,Eligible for FREE Shipping,
Wallets,Levis Trifold Wallet for Men - 31LV110021-Black,110.00SAR,59.48SAR,29,,Eligible for FREE Shipping,men
Wallets,Levi's Men's Trifold Wallet [31LV1179],120.00SAR,52.00SAR,33,84,Eligible for FREE Shipping,men
Wallets,guess Men's Wallet 31GUE11028-Black,140.00SAR,73.00SAR,75,90,Eligible for FREE Shipping,men
Wallets,TOMMY HILFIGER Honey 2 in 1 Washbag Golden Haze,210.00SAR,96.99SAR,32,,Eligible for FREE Shipping,
Wallets,guess Men's Wallet 31GUE11028-Brown,140.00SAR,74.00SAR,37,84,Eligible for FREE Shipping,men
Wallets,"Levi's Men Slimfold Wallet, Brown 31LV220010",110.00SAR,57.00SAR,68,100,Eligible for FREE Shipping,men
Wallets,guess Men's Wallet 31GUE13145-Brown,195.00SAR,86.49SAR,49,96,Eligible for FREE Shipping,men
Wallets,"The North Face Flap WALLET For UNISEX, Multi Color - NOT0CE69-JK3",123.00SAR,62.49SAR,45,96,Eligible for FREE Shipping,Unisex
Wallets,"Calvin Klein Omega Billfold Wallet, Black, 12 cm K50K504998",229.00SAR,141.00SAR,10,,Eligible for FREE Shipping,
Wallets,Dickies Trifold Wallet for Men - 31DI210004-Red,60.00SAR,31.98SAR,25,,Eligible for FREE Shipping,men
Wallets,Dockers Bifold Mens Wallet - 31DK240z01-Brown,120.00SAR,63.48SAR,16,40,Eligible for FREE Shipping,men
Wallets,"Dickies Trifold Wallet for Men,Brown,31DI210003-Brown",60.00SAR,30.00SAR,36,,Eligible for FREE Shipping,men
Wallets,Dickies Bifold Mens Wallet - 31DI1305-Brown,110.00SAR,47.99SAR,62,90,Eligible for FREE Shipping,men
Wallets,"Nautica 31NU22X026-200 Bowline Passcase Wallet for Men - Leather, Brown",100.00SAR,52.98SAR,93,90,Eligible for FREE Shipping,men
