item_category,item_name,item_after_discount,item_price,percentage_solds,item_rating,item_shipping,buyer_gender
Eyewear,"Carrera Sunglasses for Unisex , Black Aviator",650.00SAR,346.98SAR,52,,FREE Shipping,Unisex
Eyewear,"Carrera Sunglasses For Unisex - Green Lens, 149/S-6Lb, Aviator Frame",750.00SAR,351.98SAR,25,80,FREE Shipping,Unisex
Eyewear,"Ray-Ban Sunglasses For Men, Grey, 3386, Aviator Frame",770.00SAR,427.98SAR,89,92,FREE Shipping,men
Eyewear,"Ray-Ban Aviator Classic Sunglasses for Men , RB3025 L0205 58-14","1,050.00SAR",308.00SAR,81,96,FREE Shipping,men
Eyewear,"Ray-Ban RB1971 914751 Square Sunglasses for Unisex , Lens 54 mm",997.00SAR,444.99SAR,57,96,FREE Shipping,Unisex
Eyewear,"Ray-Ban Rectangular Unisex Sunglasses - Rb4165 601/71 54-16, Green Lens, Rectangle Frame",725.00SAR,372.49SAR,94,88,FREE Shipping,Unisex
Eyewear,"Polaroid Sunglasses For Men, Brown- Pld 6033/S, Square Frame",250.00SAR,157.49SAR,75,,Eligible for FREE Shipping,men
Eyewear,"Polaroid Sunglasses for Unisex , Blue",250.00SAR,180.48SAR,46,,Eligible for FREE Shipping,Unisex
Eyewear,"Polaroid Sunglasses For Women, Grey, Oval Frame",250.00SAR,145.98SAR,13,,Eligible for FREE Shipping,women
Eyewear,"Ray-Ban 3025 Aviator Large Metal Non-Mirrored Non-Polarized Sunglasses, Silver/Light Grey Gradient (003/32), 58mm","1,130.00SAR",321.00SAR,75,92,FREE Shipping,
Eyewear,"Bvlgari Sunglasses for Men , Lens Color Grey , 8053672139723","1,329.00SAR",637.49SAR,,,FREE Shipping,men
Eyewear,"Diesel Wayfarer Unisex's Sunglasses - Dl0161 - 54-16-145 mm, Purple Lens",755.00SAR,238.49SAR,57,66,FREE Shipping,Unisex
Eyewear,"Ray-Ban Sunglasses for Unisex , 0RB4246 1197Z251","1,110.00SAR",409.49SAR,,,FREE Shipping,Unisex
Eyewear,Ray Ban Classic Aviator Gold Unisex Sunglasses - Rb3025 -58-14-135,850.00SAR,419.00SAR,54,78,FREE Shipping,Unisex
Eyewear,"Ray Ban 3025, W3234 (55 mm) Sunglass, Green Lens, Aviator Frame, For Men",750.00SAR,385.46SAR,29,78,FREE Shipping,men
Eyewear,Ray-Ban Aviator Unisex Sunglasses - RB3025-004-58-58,900.00SAR,517.15SAR,2,80,FREE Shipping,Unisex
Eyewear,"Ray Ban 4165, 710/13 (51 mm) Sunglass, Brown Lens, Rectangular Frame",690.00SAR,311.99SAR,80,,FREE Shipping,
Eyewear,"Polaroid Sunglasses , for Women , Mixed , Aviator Lens Shape - Pld 2043/S-80761M9",201.00SAR,129.49SAR,22,60,Eligible for FREE Shipping,women
Eyewear,"Polaroid Sunglasses For Unisex, Green- Pld 1017/S 2276393Yg60H8, Oval Frame",250.00SAR,131.48SAR,19,90,Eligible for FREE Shipping,Unisex
Eyewear,"Carrera Aviator Men's Sunglasses - Carrera 113/S -003-57-17-145-QT, 145 mm Green",750.00SAR,268.49SAR,31,92,FREE Shipping,men
Eyewear,"Polaroid Sunglass for Men , Grey Lens , PLD 2059/S 003 60",280.00SAR,150.49SAR,42,100,Eligible for FREE Shipping,men
Eyewear,Polaroid P4139 Aviator Sunglasses,350.00SAR,131.48SAR,10,80,Eligible for FREE Shipping,
Eyewear,"Ray Ban Aviator Sunglasses For Unisex - Brown Gradient Lens, Rb4147/710/51, 60-15-145, 145 mm",945.00SAR,384.49SAR,70,88,FREE Shipping,Unisex
Eyewear,"Ray-Ban Aviator Sunglasses For Men - Rb3449-003/8G 59, Grey Lens",770.00SAR,464.49SAR,99,86,FREE Shipping,men
Eyewear,Ray-Ban Sunglasses for Unisex -0RB3552i,614.00SAR,276.49SAR,85,68,FREE Shipping,Unisex
Eyewear,Carrera Carrera 126/S QGGHD (Black - Gun with Grey Gradient lenses),750.00SAR,373.49SAR,35,90,FREE Shipping,
Eyewear,"Ray-Ban Aviator Unisex Sunglasses - Rb3449-001/1359, Brown Lens","1,014.00SAR",427.98SAR,89,86,FREE Shipping,Unisex
Eyewear,"Esprit Women's Sunglasses - Brown Frame,Brown Gradient Lens- ET19461/535, size 56-16-142",336.00SAR,143.99SAR,92,92,Eligible for FREE Shipping,women
Eyewear,CARRERA Men's Sunglasses Rectangular 130/S - Gold,750.00SAR,264.99SAR,50,86,FREE Shipping,men
Eyewear,Ray-Ban Wrap Sunglasses for Men - RB3183-63-15-125,690.00SAR,469.98SAR,73,82,FREE Shipping,men
Eyewear,"Ray Ban Rectangle Sunglasses For Men - Gray Lens, Rb4179-601S82, 140 mm","1,680.00SAR",884.49SAR,62,92,FREE Shipping,men
Eyewear,"Carrera Aviator Sunglasses for Unisex , 8010/S-R80-59-12-140-WJ",525.00SAR,228.98SAR,89,82,FREE Shipping,Unisex
Eyewear,"Ray Ban Sunglasses for Men - Size 55, Black Frame, 0RB4165 622 2V55",820.00SAR,584.99SAR,43,86,FREE Shipping,men
Eyewear,CARRERA Men's Sunglasses Round Carrera 126/S Shnblckgd,750.00SAR,350.98SAR,65,80,FREE Shipping,men
Eyewear,"Ray-Ban Sunglasses for Men, Black, 3548N","1,286.00SAR",576.99SAR,78,98,FREE Shipping,men
Eyewear,"Polaroid Sunglasses for Men, Black- PLD 7005/S 223783YYV63RC",250.00SAR,134.99SAR,94,94,Eligible for FREE Shipping,men
Eyewear,Ray-Ban Rb3025-002/58 Aviator Unisex Sunglasses,985.00SAR,299.00SAR,,84,,Unisex
Eyewear,"Ray-Ban Junior Unisex's 0RB3647N 90683F 51 Sunglasses, Transparent/Clear Gradient Blue",820.00SAR,470.99SAR,40,92,FREE Shipping,Unisex
Eyewear,"Ray-Ban Sunglasses For Unisex, Grey, 3647N, Round Frame",850.00SAR,444.99SAR,33,100,FREE Shipping,Unisex
Eyewear,"Ray Ban Aviator Sunglasses for Unisex - Green Lens, RB3025 55 W3234","1,039.50SAR",444.49SAR,60,96,FREE Shipping,Unisex
Eyewear,"Ray-Ban Unisex Aviator Sunglasses [Rb3025 112/85], 55-14-135, Brown Lens","1,014.00SAR",460.70SAR,71,90,FREE Shipping,Unisex
Eyewear,"Ray-Ban Aviator Unisex Sunglasses - Rb3025-001-58 58, Green Lens",970.00SAR,200.00SAR,20,80,,Unisex
Eyewear,"Ray-Ban Aviator Unisex Sunglasses - Rb3025 001-57, Brown Lens","1,040.00SAR",463.00SAR,65,80,FREE Shipping,Unisex
Eyewear,"Ray-Ban RB1971 91493F Square Sunglasses for Unisex , Lens 54 mm",997.00SAR,444.99SAR,21,,FREE Shipping,Unisex
Eyewear,Ray Ban Clubmaster Unisex Sunglasses - RB3016W036-W0365 - 51-50 -25-145 mm,870.00SAR,535.98SAR,50,88,FREE Shipping,Unisex
