item_category,item_name,item_after_discount,item_price,percentage_solds,item_rating,item_shipping,buyer_gender
Watches,Michael Kors Lexington Women's Silver Dial Stainless Steel Band Watch - MK5735,"1,698.00SAR",639.00SAR,85,92,,women
Watches,Lacoste Women's Silver Dial Leather Band Watch - 2001007,929.00SAR,426.49SAR,77,100,FREE Shipping,women
Watches,JBW Mondrian Women's 16 Diamonds Rose Gold Dial Stainless Steel Band Watch - J6303C,"2,990.00SAR",564.98SAR,94,88,FREE Shipping,women
Watches,"Casio MTP1303L-1A For Men-Analog, Casual Watch, Leather",152.00SAR,103.00SAR,,88,,men
Watches,"Burberry BU9509 For Women (Analog, Casual Watch), Leather","2,040.00SAR","1,088.48SAR",68,90,FREE Shipping,women
Watches,"Casio Men's Silver Dial Leather Band Watch - MTP-1374L-7, Analog, Quartz",,166.99SAR,70,96,Eligible for FREE Shipping,men
Watches,JBW 562 Men's 12 Diamonds Gold Dial Gold-Plated Stainless Steel Band Watch - JB-6225-M,"2,749.00SAR","1,230.00SAR",,76,,men
Watches,"Fossil Townsman Watch For Men Analog Stainless Steel Band Me3103, Automatic",929.00SAR,647.99SAR,70,90,FREE Shipping,men
Watches,"Emporio Armani Watch For Men Stainless Steel Quartz Ar2499, Analog","1,596.00SAR",639.99SAR,91,88,FREE Shipping,men
Watches,"Casio Women'S White Dial Resin Band Watch Lrw 200H 4B2V, Quartz, Analog",,154.99SAR,,84,,women
Watches,"Casio Women'S Blue Dial Stainless Steel Band Watch Ltp 1183A 2A, Quartz, Analog",225.00SAR,110.00SAR,50,82,,women
Watches,"Emporio Armani Men'S White Dial Stainless Steel Band Watch Ar1839, Quartz, Analog","1,145.00SAR",670.98SAR,42,86,FREE Shipping,men
Watches,"Casio  LTP-1275G-9A For Women Analog-Dress Watch, Stainless Steel, Quartz",162.00SAR,122.99SAR,98,88,,women
Watches,Scuderia Ferrari Forza Men's Black Dial Silicone Band Watch - 830576,795.00SAR,538.48SAR,,100,FREE Shipping,men
Watches,"Casio G-Shock Men's Ana-Digi Dial Resin Band Watch - GA-100-1A4, Rubber",,899.00SAR,,88,,men
Watches,Hugo Boss Men White Leather Casual Watch - 1513280,"1,435.00SAR",895.99SAR,,98,FREE Shipping,men
Watches,Ferrari Redrev T Men's Black Dial Stainless Steel Watch - 830254,,272.99SAR,67,,FREE Shipping,men
Watches,"Casio Men's Ana-Digi Dial Resin Band Watch - AQ-S810W-2AV, Quartz",208.00SAR,165.46SAR,68,92,Eligible for FREE Shipping,men
Watches,Tissot Everytime Women's Silver Dial Stainless Steel Band Watch - T057.910.22.037.00,"1,680.00SAR",927.49SAR,30,96,FREE Shipping,women
Watches,Hugo Boss Rafale Men's White Dial Leather Band Watch - 1513403,"1,195.00SAR",614.48SAR,64,100,FREE Shipping,men
Watches,"Scuderia Ferrari Casual Watch for Unisex , Silicone , 830482",395.00SAR,219.00SAR,50,94,FREE Shipping,Unisex
Watches,"Burberry Watch For Men,Stainless Steel Band, Quartz, BU9351, Analog","2,865.00SAR","1,196.49SAR",91,90,FREE Shipping,men
Watches,Hugo Boss Casual Round Watch for Men,"1,285.00SAR",407.99SAR,3,,FREE Shipping,men
Watches,"Casio Analog, Casual Watch For Men - MTP-1314D-7AVDF, Stainless Steel",184.00SAR,85.69SAR,88,92,Eligible for FREE Shipping,men
Watches,"Casio Men's Black Dial Stainless Steel Band Watch - MTP-1314SG-1AV, Analog, Quartz",300.00SAR,140.93SAR,85,86,Eligible for FREE Shipping,men
Watches,"Casio MTP-V004D-1B For Men Analog, Dress Watch , Stainless Steel",114.00SAR,61.49SAR,86,86,Eligible for FREE Shipping,men
Watches,"Akribos XXIV Men's Silver Dial Stainless Steel Band Watch - AK813SS, Analog, Swiss Quartz","2,610.00SAR",209.49SAR,81,100,FREE Shipping,men
Watches,"Burberry BU9015
 Womens Analog Leather Watch","2,040.00SAR",798.48SAR,91,98,FREE Shipping,women
Watches,"Akribos XXIV Men's Black Dial Metal Band Watch - AK814TTB, Analog, Japanese Quartz","1,860.00SAR",228.99SAR,57,62,FREE Shipping,men
Watches,JBW Skye 0.05 ctw Diamond Women's White MOP Dial Genuine Leather Band Watch - J6378C,"1,879.00SAR",523.98SAR,21,,FREE Shipping,women
Watches,"Emporio Armani Men'S Black Dial Stainless Steel Band Watch Ar1977, Quartz, Analog","1,148.00SAR",598.44SAR,50,80,FREE Shipping,men
Watches,"Fossil Grant Watch For Men Analog Leather Band Fs4813, Quartz",472.00SAR,398.91SAR,91,86,FREE Shipping,men
Watches,Tissot Casual Watch For Women Analog Stainless Steel - T023.309.11.031.00,"1,580.00SAR",855.49SAR,17,90,FREE Shipping,women
Watches,Michael Kors Lexington Watch for Men - Analog Stainless Steel Band - MK8344,"2,420.00SAR",648.97SAR,25,88,FREE Shipping,men
Watches,Tissot Womens Round Black Dial Silicone Bracelet Watch [T048.217.27.057.00],"2,370.00SAR","1,307.99SAR",14,80,FREE Shipping,women
Watches,"Diesel Master Chief Men'S Gray Dial Leather Band Chronograph Watch Dz4290, Japanese Quartz, Analog",,"1,039.49SAR",,90,FREE Shipping,men
Watches,Hugo Boss Dress Watch For Men Analog Leather - 1513279,"1,435.00SAR",895.99SAR,44,100,FREE Shipping,men
Watches,"Burberry Watch for Women , Quartz , Leather , BU9132, Analog","1,625.00SAR",696.49SAR,86,100,FREE Shipping,women
Watches,"Fossil Grant Watch For Men Analog Leather Band Fs5151, Quartz",756.00SAR,400.33SAR,47,90,FREE Shipping,men
Watches,hugo boss Governor Men's Black Dial Stainless Steel Band Watch - 1513488,915.00SAR,566.99SAR,55,,FREE Shipping,men
Watches,Lacoste Women's Blue Dial Leather Band Watch - 2001006,605.00SAR,321.49SAR,42,90,FREE Shipping,women
Watches,Fossil Coachman Men's Silver Dial Leather Band Chronograph Watch - CH2565,839.00SAR,408.73SAR,93,90,FREE Shipping,men
Watches,"Emporio Armani Men Ar1808 Classic Silver Tone Stainless Steel Watch, Analog","1,095.00SAR",564.00SAR,86,94,FREE Shipping,men
Watches,hugo boss Jet Men's White Dial Leather Band Watch - 1513282,"1,140.00SAR",692.49SAR,80,88,FREE Shipping,men
Watches,Michael Kors Darci Watch for Women - Analog Stainless Steel Band - MK3191,859.00SAR,665.84SAR,67,92,FREE Shipping,women
Watches,"August Steiner Men's Gold-Tone And Blue Dial Leather Band Watch - AS8183SSB, Analog, Japanese Quartz Movement","1,600.00SAR",215.48SAR,72,68,FREE Shipping,men
Watches,Ferrari Pilota Men's Black Dial Stainless Steel Watch - 830389,,384.49SAR,50,,FREE Shipping,men
Watches,Lacoste Men's Blue Dial Stainless Steel Band Watch - 2010953L,965.00SAR,461.49SAR,61,100,FREE Shipping,men
Watches,August Steiner Women's Silver Dial Stainless Steel Band Watch - AS8228SS,703.00SAR,228.99SAR,75,80,FREE Shipping,women
Watches,Casio Unisex Illuminated Digital Dial Gold Tone Stainless Steel Band Watch [A168WG-9WDF],168.00SAR,111.79SAR,96,88,Eligible for FREE Shipping,Unisex
Watches,"Diesel Mini Daddy For Men Black Dial Leather Band Watch Dz7307, Japanese Quartz, Analog","1,100.00SAR",448.99SAR,67,96,FREE Shipping,men
Watches,"Hugo Boss Dress Watch for Men , Leather , 1513628","1,365.00SAR",828.99SAR,,100,FREE Shipping,men
Watches,Hugo Boss Casual Round Watch for Men,"1,285.00SAR",412.48SAR,9,,FREE Shipping,men
Watches,"Burberry BU9006 For Men Analog, Casual Watch","2,034.00SAR",944.98SAR,13,60,FREE Shipping,men
Watches,"Akribos XXIV Men's Black Dial Leather Band Watch - AK911BK, Analog, Quartz Movement","1,600.00SAR",191.98SAR,76,66,Eligible for FREE Shipping,men
Watches,JBW Alessandra for Women - Analog Stainless Steel Band Watch - JB-6217-C,"5,481.00SAR",679.49SAR,41,94,FREE Shipping,women
Watches,"Casio Analog, Casual Watch For Men - MTP-1314D-1A, Stainless Steel",,200.00SAR,,88,,men
Watches,Scuderia Ferrari Aspire Men's Black Dial Stainless Steel Band Watch - 830535,"1,115.00SAR",753.48SAR,,94,FREE Shipping,men
Watches,"Akribos XXIV Swiss Quartz Chronograph Strap Men's Black Leather Band Watch - AK969BK, Analog","1,970.00SAR",249.00SAR,95,80,FREE Shipping,men
Watches,JBW Women's Mondrian Jewelry Set 0.16 ctw Diamond 18K Rose Gold-Plated Stainless Steel Watch - J6303-SetC,"3,124.00SAR",934.00SAR,,92,,women
Watches,JBW Jet Setter Men's 234 Diamonds Gold Dial Stainless Steel Band Watch - JB-6213-E,"26,220.00SAR","3,220.00SAR",,76,,men
Watches,"Casio Enticer for Men - Casual Leather Band Watch - MTP1314L-7A, Analog",196.00SAR,106.00SAR,,84,,men
